District,Land_Type,Date,Price_Change
Seoul,Industry,2008-07-01,0.855
Seoul,Industry,2008-08-01,0.732
Seoul,Industry,2008-09-01,0.506
Seoul,Industry,2008-10-01,-0.13
Seoul,Industry,2008-11-01,-2.257
Seoul,Industry,2008-12-01,-3.551
Seoul,Industry,2009-01-01,-0.778
Seoul,Industry,2009-02-01,-0.385
Seoul,Industry,2009-03-01,-0.074
Seoul,Industry,2009-04-01,0.17
Seoul,Industry,2009-05-01,0.18
Seoul,Industry,2009-06-01,0.237
Seoul,Industry,2009-07-01,0.245
Seoul,Industry,2009-08-01,0.617
Seoul,Industry,2009-09-01,0.401
Seoul,Industry,2009-10-01,0.302
Seoul,Industry,2009-11-01,0.27
Seoul,Industry,2009-12-01,0.305
Seoul,Industry,2010-01-01,0.271
Seoul,Industry,2010-02-01,0.267
Seoul,Industry,2010-03-01,0.216
Seoul,Industry,2010-04-01,0.114
Seoul,Industry,2010-05-01,0.086
Seoul,Industry,2010-06-01,0.023
Seoul,Industry,2010-07-01,-0.027
Seoul,Industry,2010-08-01,-0.017
Seoul,Industry,2010-09-01,-0.112
Seoul,Industry,2010-10-01,-0.143
Seoul,Industry,2010-11-01,0.025
Seoul,Industry,2010-12-01,0.122
Seoul,Industry,2011-01-01,0.104
Seoul,Industry,2011-02-01,0.104
Seoul,Industry,2011-03-01,0.163
Seoul,Industry,2011-04-01,0.107
Seoul,Industry,2011-05-01,0.075
Seoul,Industry,2011-06-01,0.097
Seoul,Industry,2011-07-01,0.079
Seoul,Industry,2011-08-01,0.072
Seoul,Industry,2011-09-01,0.035
Seoul,Industry,2011-10-01,0.038
Seoul,Industry,2011-11-01,0.027
Seoul,Industry,2011-12-01,0.027
Seoul,Industry,2012-01-01,0.027
Seoul,Industry,2012-02-01,0.018
Seoul,Industry,2012-03-01,0.075
Seoul,Industry,2012-04-01,0.088
Seoul,Industry,2012-05-01,0.114
Seoul,Industry,2012-06-01,0.06
Seoul,Industry,2012-07-01,0.08
Seoul,Industry,2012-08-01,0.036
Seoul,Industry,2012-09-01,0.038
Seoul,Industry,2012-10-01,0.082
Seoul,Industry,2012-11-01,-0.039
Seoul,Industry,2012-12-01,-0.037
Seoul,Industry,2013-01-01,-0.028
Seoul,Industry,2013-02-01,0.015
Seoul,Industry,2013-03-01,0.061
Seoul,Industry,2013-04-01,0.119
Seoul,Industry,2013-05-01,0.051
Seoul,Industry,2013-06-01,0.051
Seoul,Industry,2013-07-01,0.026
Seoul,Industry,2013-08-01,-0.044
Seoul,Industry,2013-09-01,0.099
Seoul,Industry,2013-10-01,0.162
Seoul,Industry,2013-11-01,0.113
Seoul,Industry,2013-12-01,0.077
Seoul,Industry,2014-01-01,0.132
Seoul,Industry,2014-02-01,0.22
Seoul,Industry,2014-03-01,0.212
Seoul,Industry,2014-04-01,0.101
Seoul,Industry,2014-05-01,0.124
Seoul,Industry,2014-06-01,0.149
Seoul,Industry,2014-07-01,0.127
Seoul,Industry,2014-08-01,0.08
Seoul,Industry,2014-09-01,0.245
Seoul,Industry,2014-10-01,0.144
Seoul,Industry,2014-11-01,0.061
Seoul,Industry,2014-12-01,0.153
Seoul,Industry,2015-01-01,0.102
Seoul,Industry,2015-02-01,0.09
Seoul,Industry,2015-03-01,0.235
Seoul,Industry,2015-04-01,0.096
Seoul,Industry,2015-05-01,0.152
Seoul,Industry,2015-06-01,0.154
Seoul,Industry,2015-07-01,0.313
Seoul,Industry,2015-08-01,0.209
Seoul,Industry,2015-09-01,0.182
Seoul,Industry,2015-10-01,0.192
Seoul,Industry,2015-11-01,0.24
Seoul,Industry,2015-12-01,0.21
Seoul,Industry,2016-01-01,0.141
Seoul,Industry,2016-02-01,0.104
Seoul,Industry,2016-03-01,0.114
Seoul,Industry,2016-04-01,0.126
Seoul,Industry,2016-05-01,0.237
Seoul,Industry,2016-06-01,0.229
Seoul,Industry,2016-07-01,0.214
Seoul,Industry,2016-08-01,0.22
Seoul,Industry,2016-09-01,0.235
Seoul,Industry,2016-10-01,0.185
Seoul,Industry,2016-11-01,0.229
Seoul,Industry,2016-12-01,0.191
Seoul,Industry,2017-01-01,0.184
Seoul,Industry,2017-02-01,0.247
Seoul,Industry,2017-03-01,0.511
Seoul,Industry,2017-04-01,0.355
Seoul,Industry,2017-05-01,0.57
Seoul,Industry,2017-06-01,0.335
Seoul,Industry,2017-07-01,0.487
Seoul,Industry,2017-08-01,0.43
Seoul,Industry,2017-09-01,0.347
